"","data$description"
"113","Bei der Bewerbung um einen Studienplatz in Gelsenkirchen wurde ich diskriminiert, als die Universität sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meiner guten Noten und Empfehlungen wurde ich aus dem Auswahlprozess ausgeschlossen."
"114","Bei der Teilnahme an einer kulturellen Veranstaltung in Erfurt wurde ich diskriminiert, als die Organisatoren mir den Zugang aufgrund meines muslimischen Glaubens verweigerten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Veranstaltung ausgeschlossen."
"115","Bei einer politischen Veranstaltung in Bonn wurde ich diskriminiert, als einige Teilnehmer mich aus der Debatte ausschlossen, weil ich Muslima bin. Trotz meiner Versuche, meine Meinungen zu äußern, wurde ich ignoriert und marginalisiert."
"116","Bei einem Schulausflug nach Bremen wurde ich Opfer von Diskriminierung, als meine Klassenkameraden mich aufgrund meiner Religion ausschlossen. Trotz meiner Versuche, an den Aktivitäten teilzunehmen, wurde ich isoliert und marginalisiert."
"117","Bei einem Besuch in einer Diskothek in Ludwigshafen wurde ich Opfer von Diskriminierung, als das Personal mir den Zugang wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen ihre Clubpolitik, und baten mich, das Lokal zu verlassen."
"118","Bei einem Besuch in einem Café in Siegen wurde ich diskriminiert, als das Personal mir den Service wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen ihre Café-Richtlinien, und baten mich, das Lokal zu verlassen."
"119","Bei einem Besuch im Museum in München wurde ich Opfer von Diskriminierung, als das Sicherheitspersonal mir den Zugang wegen meines Hijabs verwehrte. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"120","Bei der Bewerbung um eine freiwillige Stelle in Kassel wurde ich diskriminiert, als die Organisation sich weigerte, mich wegen meines muslimischen Glaubens einzustellen. Trotz meines Engagements und meiner Motivation wurde ich aus dem Freiwilligenteam ausgeschlossen."
"121","Bei der Teilnahme an einer politischen Versammlung in Mönchengladbach wurde ich diskriminiert, als einige Teilnehmer mich von den Diskussionen ausschlossen, weil ich Muslima bin. Trotz meiner intellektuellen Beiträge wurde ich von den Teilnehmern abgelehnt und ausgegrenzt."
"122","Beim Einkaufen in Aachen wurde ich Opfer von Diskriminierung, als Verkäufer mich wegen meiner Religion verbal belästigten. Trotz meiner Versuche, die Beleidigungen zu ignorieren, war ich emotional stark betroffen."
"123","Bei der Teilnahme an einer Konferenz in Paderborn wurde ich diskriminiert, als einige Teilnehmer mich von den Diskussionen ausschlossen, weil ich Muslima bin. Trotz meiner intellektuellen Beiträge wurde ich von den Teilnehmern abgelehnt und ausgegrenzt."
"124","Bei einem Theaterbesuch in Duisburg wurde ich Opfer von Diskriminierung, als andere Zuschauer mich wegen meiner Religion verbal belästigten. Trotz meiner Versuche, die Beleidigungen zu ignorieren, war ich emotional stark betroffen."
"125","Bei der Bewerbung um ein Praktikum in Erfurt wurde ich diskriminiert, als das Unternehmen sich weigerte, mich wegen meines muslimischen Glaubens einzustellen. Trotz meiner Fähigkeiten und meiner Begeisterung wurde ich aus dem Praktikumsprogramm ausgeschlossen."
"126","Bei einem Museumsbesuch in Hannover wurde ich Opfer von Diskriminierung, als das Sicherheitspersonal mir den Zugang wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung sei unangemessen und forderten mich auf, das Gelände zu verlassen."
"127","Bei einem Zoobesuch in Münster wurde ich Opfer von Diskriminierung, als das Personal mir den Zugang wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"128","Bei einem Einkaufsbummel in Regensburg wurde ich Opfer von Diskriminierung, als Verkäufer mich wegen meiner Religion verbal belästigten. Trotz meiner Versuche, die Beleidigungen zu ignorieren, war ich emotional stark betroffen."
"129","Beim Einkaufen in Aachen wurde ich Opfer von Diskriminierung, als Verkäufer mich wegen meiner Religion verbal belästigten. Trotz meiner Versuche, die Beleidigungen zu ignorieren, war ich emotional stark betroffen."
"130","Beim Einkaufen in Leipzig wurde ich Opfer von Diskriminierung, als Verkäufer mich wegen meiner Religion verbal belästigten. Trotz meiner Versuche, die Beleidigungen zu ignorieren, war ich emotional stark betroffen."
"131","Bei einem Besuch beim Friseur in Mannheim wurde ich diskriminiert, als der Friseur sich weigerte, mich wegen meiner Religion zu bedienen. Trotz meiner Versuche, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich aus dem Salon ausgeschlossen."
"132","Bei der Bewerbung um ein Austauschprogramm in Wiesbaden wurde ich diskriminiert, als die Universität sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meiner guten Noten und Empfehlungen wurde ich aus dem Programm ausgeschlossen."
"133","Bei einem Zoobesuch in Trier wurde ich Opfer von Diskriminierung, als Sicherheitskräfte mir den Zugang wegen meines Hijabs verwehrten. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"134","Bei einem Zoobesuch in Krefeld wurde ich Opfer von Diskriminierung, als Sicherheitskräfte mir den Zugang wegen meines Hijabs verwehrten. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"135","Bei einem Museumsbesuch in Hannover wurde ich Opfer von Diskriminierung, als das Sicherheitspersonal mir den Zugang wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung sei unangemessen und forderten mich auf, das Gelände zu verlassen."
"136","Bei einem Einkaufsbummel in Regensburg wurde ich Opfer von Diskriminierung, als Verkäufer mich wegen meiner Religion verbal belästigten. Trotz meiner Versuche, die Beleidigungen zu ignorieren, war ich emotional stark betroffen."
"137","Beim Besuch einer Ausstellung in Bonn wurde ich Opfer von Diskriminierung, als die Organisatoren mir den Zugang wegen meines muslimischen Glaubens verwehrten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Ausstellung ausgeschlossen."
"138","Bei einem Stadtteilmeeting in Leipzig wurde ich mit Diskriminierung konfrontiert, als einige Bewohner beleidigende Bemerkungen über meine Religion machten. Trotz meiner Bemühungen, an der Diskussion teilzunehmen, wurde ich ausgeschlossen und ignoriert."
"139","Beim Besuch eines Kinos in Ulm wurde ich Opfer von Diskriminierung, als das Personal mir den Zugang wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen ihre Kino-Richtlinien, und baten mich, das Gelände zu verlassen."
"140","Beim Einkaufen in Leipzig wurde ich Opfer von Diskriminierung, als Verkäufer mich wegen meiner Religion verbal belästigten. Trotz meiner Versuche, die Beleidigungen zu ignorieren, war ich emotional stark betroffen."
"141","Bei der Teilnahme an einer kulturellen Veranstaltung in Wolfsburg wurde ich diskriminiert, als die Organisatoren mir den Zugang wegen meines muslimischen Glaubens verweigerten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Veranstaltung ausgeschlossen."
"142","Bei der Bewerbung um einen Studienplatz in Dortmund wurde ich diskriminiert, als die Universität sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meiner guten Noten und Empfehlungen wurde ich aus dem Auswahlprozess ausgeschlossen."
"143","Beim Einkaufen in Düsseldorf wurde ich mit Diskriminierung konfrontiert, als der Kassierer sich weigerte, mich wegen meines Hijabs zu bedienen. Er machte abfällige Bemerkungen über meine Religion und forderte mich auf, den Laden zu verlassen."
"144","Bei einer Arbeitsbesprechung in Kiel wurde ich Opfer von Diskriminierung, als meine Kollegen mich aus den Gesprächen ausschlossen, weil ich Muslima bin. Trotz meiner beruflichen Beiträge wurde ich vom Team ignoriert und marginalisiert."
"145","Bei einem Treffen mit Freunden in Köln wurde ich diskriminiert, als einige Gäste beleidigende Bemerkungen über meine Religion machten. Trotz meiner Versuche, meinen Glauben zu erklären und zu verteidigen, wurde ich aus der Gruppe ausgeschlossen."
"146","Beim Besuch einer Ausstellung in Berlin wurde ich Opfer von Diskriminierung, als die Organisatoren mir den Zugang wegen meines muslimischen Glaubens verwehrten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Ausstellung ausgeschlossen."
"147","Bei der Bewerbung um eine Stelle in Nuremberg wurde ich diskriminiert, als der Arbeitgeber sich weigerte, meine Bewerbung wegen meines muslimischen Glaubens zu berücksichtigen. Trotz meiner Qualifikationen und Erfahrungen wurde ich aus dem Auswahlprozess ausgeschlossen."
"148","Bei einem Besuch beim Friseur in Mannheim wurde ich diskriminiert, als der Friseur sich weigerte, mich wegen meiner Religion zu bedienen. Trotz meiner Versuche, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich aus dem Salon ausgeschlossen."
"149","Bei einem Zoobesuch in Braunschweig wurde ich Opfer von Diskriminierung, als Sicherheitskräfte mir den Zugang wegen meines Hijabs verwehrten. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"150","Bei einem Zoobesuch in Braunschweig wurde ich Opfer von Diskriminierung, als Sicherheitskräfte mir den Zugang wegen meines Hijabs verwehrten. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"151","Bei der Bewerbung um ein Praktikum in Erfurt wurde ich diskriminiert, als das Unternehmen sich weigerte, mich wegen meines muslimischen Glaubens einzustellen. Trotz meiner Fähigkeiten und meiner Begeisterung wurde ich aus dem Praktikumsprogramm ausgeschlossen."
"152","Auf dem Weg zur Universität in München wurde ich mit Diskriminierung konfrontiert, als Studenten mich aufforderten, den Ort wegen meines Hijabs zu verlassen. Sie beleidigten mich und machten abfällige Bemerkungen über mich."
"153","Bei der Bewerbung um ein Mentorenprogramm in Mönchengladbach wurde ich diskriminiert, als die Organisation sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meines Interesses am Programm wurde ich aus dem Auswahlverfahren ausgeschlossen."
"154","Bei einem Abendessen im Restaurant in Frankfurt wurde ich diskriminiert, als das Personal mir den Service wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen ihre Restaurantpolitik, und baten mich, das Lokal zu verlassen."
"155","Bei einem Besuch beim Zahnarzt in Bielefeld wurde ich diskriminiert, als der Zahnarzt sich weigerte, mich wegen meiner Religion zu behandeln. Trotz meiner Zahnbeschwerden war ich gezwungen, einen anderen Gesundheitsfachmann aufzusuchen, um eine Behandlung zu erhalten."
"156","Bei einem Besuch im Museum in München wurde ich Opfer von Diskriminierung, als das Sicherheitspersonal mir den Zugang wegen meines Hijabs verwehrte. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"157","Beim Besuch einer Ausstellung in Freiburg wurde ich Opfer von Diskriminierung, als die Organisatoren mir den Zugang wegen meines muslimischen Glaubens verwehrten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Ausstellung ausgeschlossen."
"158","Bei einer diplomatischen Empfang in Saarbrücken wurde ich diskriminiert, als einige Gäste mich aus der Gruppe ausschlossen, weil ich Muslima bin. Trotz meiner Bemühungen, Kontakte zu knüpfen, wurde ich abgelehnt und ausgegrenzt."
"159","Bei einem Besuch im Schwimmbad in Hanau wurde ich diskriminiert, als das Personal mir den Zugang wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen die Regeln des Schwimmbads, und baten mich, das Gelände zu verlassen."
"160","Bei einem Abendessen im Restaurant in Frankfurt wurde ich diskriminiert, als das Personal mir den Service wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen ihre Restaurantpolitik, und baten mich, das Lokal zu verlassen."
"161","Bei einem Theaterbesuch in Duisburg wurde ich Opfer von Diskriminierung, als andere Zuschauer mich wegen meiner Religion verbal belästigten. Trotz meiner Versuche, die Beleidigungen zu ignorieren, war ich emotional stark betroffen."
"162","Beim Besuch einer Bibliothek in Heidelberg wurde ich diskriminiert, als der Bibliothekar mir den Zugang wegen meines Hijabs verweigerte. Er behauptete, meine Kleidung verstoße gegen die Regeln der Bibliothek, und bat mich, das Gelände zu verlassen."
"163","Auf einer Zugfahrt nach Stuttgart wurde ich Opfer von Diskriminierung, als Mitreisende mich wegen meines muslimischen Glaubens verbal belästigten. Trotz meiner Versuche, die Beleidigungen zu ignorieren, war ich emotional stark betroffen."
"164","Bei der Bewerbung um einen Studienplatz in Saarbrücken wurde ich diskriminiert, als die Universität sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meiner guten Noten und Empfehlungen wurde ich aus dem Auswahlprozess ausgeschlossen."
"165","Beim Besuch einer Bibliothek in Heidelberg wurde ich diskriminiert, als der Bibliothekar mir den Zugang wegen meines Hijabs verweigerte. Er behauptete, meine Kleidung verstoße gegen die Regeln der Bibliothek, und bat mich, das Gelände zu verlassen."
"166","Beim Besuch eines Fitnessstudios in Halle wurde ich diskriminiert, als das Personal mir den Zugang wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen die Regeln des Fitnessstudios, und baten mich, das Gelände zu verlassen."
"167","Bei der Teilnahme an einer politischen Versammlung in Hagen wurde ich diskriminiert, als einige Teilnehmer mich von den Diskussionen ausschlossen, weil ich Muslima bin. Trotz meiner intellektuellen Beiträge wurde ich von den Teilnehmern abgelehnt und ausgegrenzt."
"168","Bei der Teilnahme an einer kulturellen Veranstaltung in Wolfsburg wurde ich diskriminiert, als die Organisatoren mir den Zugang wegen meines muslimischen Glaubens verweigerten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Veranstaltung ausgeschlossen."
"169","Beim Besuch einer Ausstellung in Magdeburg wurde ich Opfer von Diskriminierung, als die Organisatoren mir den Zugang wegen meines muslimischen Glaubens verwehrten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Ausstellung ausgeschlossen."
"170","Bei einem Arztbesuch in Frankfurt wurde ich aufgrund meiner Religion diskriminiert. Das medizinische Personal machte abfällige Bemerkungen über meinen Glauben und verweigerte mir eine angemessene medizinische Behandlung."
"171","Bei der Bewerbung um ein Austauschprogramm in Potsdam wurde ich diskriminiert, als die Universität sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meiner guten Noten und Empfehlungen wurde ich aus dem Programm ausgeschlossen."
"172","Bei einem Zoobesuch in Trier wurde ich Opfer von Diskriminierung, als Sicherheitskräfte mir den Zugang wegen meines Hijabs verwehrten. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"173","Bei der Bewerbung um eine Wohnung in Dortmund wurde ich diskriminiert. Der Vermieter weigerte sich, mir die Wohnung zu vermieten, weil mein muslimischer Nachname angeblich gegen ihn sprach, trotz meiner guten Referenzen und meiner Zahlungshistorie."
